comuna,comuna_nombre,provincia,provincia_nombre,region,region_nombre,claro_redacceso_length_km,claro_redacceso_segments_intersecting,claro_redacceso_categories_present,entel_redacceso_length_km,entel_redacceso_segments_intersecting,entel_redacceso_categories_present,fixed_access_public_linework_length_km,fixed_access_public_operators_present
1101,Iquique,11,Iquique,1,Tarapacá,210.0871,823,5,65.4517,100,3,275.5388,2
1107,Alto Hospicio,11,Iquique,1,Tarapacá,3.3635,4,1,5.3137,11,2,8.6772,2
1401,Pozo Almonte,14,Del Tamarugal,1,Tarapacá,2.9902,5,1,0.0562,1,1,3.0463,2
1402,Camiña,14,Del Tamarugal,1,Tarapacá,0.0,0,0,0.0,0,0,0.0,0
1403,Colchane,14,Del Tamarugal,1,Tarapacá,0.0,0,0,0.0,0,0,0.0,0
1404,Huara,14,Del Tamarugal,1,Tarapacá,0.0,0,0,0.0,0,0,0.0,0
1405,Pica,14,Del Tamarugal,1,Tarapacá,0.0,0,0,1.774,1,1,1.774,1
2101,Antofagasta,21,Antofagasta,2,Antofagasta,338.61,1178,5,95.4226,209,5,434.0326,2
2102,Mejillones,21,Antofagasta,2,Antofagasta,11.9719,20,2,1.8207,1,1,13.7926,2
2103,Sierra Gorda,21,Antofagasta,2,Antofagasta,0.1785,2,1,5.5052,2,1,5.6837,2
2104,Taltal,21,Antofagasta,2,Antofagasta,0.0,0,0,0.2471,1,1,0.2471,1
2201,Calama,22,El Loa,2,Antofagasta,254.801,694,4,56.9176,87,2,311.7186,2
2202,Ollagüe,22,El Loa,2,Antofagasta,0.0,0,0,0.0,0,0,0.0,0
2203,San Pedro de Atacama,22,El Loa,2,Antofagasta,1.0354,5,2,1.8922,7,2,2.9275,2
2301,Tocopilla,23,Tocopilla,2,Antofagasta,2.3057,4,2,0.063,2,2,2.3687,2
2302,María Elena,23,Tocopilla,2,Antofagasta,0.0,0,0,1.9589,14,2,1.9589,1
3101,Copiapó,31,Copiapó,3,Atacama,190.8952,721,5,33.8485,74,3,224.7437,2
3102,Caldera,31,Copiapó,3,Atacama,0.7486,2,1,3.2951,8,1,4.0436,2
3103,Tierra Amarilla,31,Copiapó,3,Atacama,0.0,0,0,0.0,0,0,0.0,0
3201,Chañaral,32,Chañaral,3,Atacama,0.2194,4,2,0.0,0,0,0.2194,1
3202,Diego de Almagro,32,Chañaral,3,Atacama,5.2435,12,2,2.2029,6,2,7.4464,2
3301,Vallenar,33,Huasco,3,Atacama,28.8166,84,2,10.771,22,3,39.5876,2
3302,Alto del Carmen,33,Huasco,3,Atacama,0.0,0,0,0.0,0,0,0.0,0
3303,Freirina,33,Huasco,3,Atacama,0.0,0,0,43.6107,14,1,43.6107,1
3304,Huasco,33,Huasco,3,Atacama,0.1862,1,1,29.8797,11,2,30.066,2
4101,La Serena,41,Elqui,4,Coquimbo,342.7168,979,5,79.697,158,3,422.4139,2
4102,Coquimbo,41,Elqui,4,Coquimbo,271.8853,788,5,57.5905,93,6,329.4758,2
4103,Andacollo,41,Elqui,4,Coquimbo,1.2686,4,1,1.104,1,1,2.3726,2
4104,La Higuera,41,Elqui,4,Coquimbo,0.0,0,0,0.0,0,0,0.0,0
4105,Paihuano,41,Elqui,4,Coquimbo,0.0,0,0,0.0,0,0,0.0,0
4106,Vicuña,41,Elqui,4,Coquimbo,3.9256,6,1,0.084,1,1,4.0096,2
4201,Illapel,42,Choapa,4,Coquimbo,10.7997,37,2,0.6978,2,1,11.4974,2
4202,Canela,42,Choapa,4,Coquimbo,0.0,0,0,0.0,0,0,0.0,0
4203,Los Vilos,42,Choapa,4,Coquimbo,9.9601,28,2,16.5655,10,1,26.5256,2
4204,Salamanca,42,Choapa,4,Coquimbo,0.0,0,0,0.9937,3,1,0.9937,1
4301,Ovalle,43,Limarí,4,Coquimbo,52.4393,156,5,2.708,12,2,55.1473,2
4302,Combarbalá,43,Limarí,4,Coquimbo,2.0114,6,1,1.1848,2,1,3.1962,2
4303,Monte Patria,43,Limarí,4,Coquimbo,3.7514,10,1,0.0,0,0,3.7514,1
4304,Punitaqui,43,Limarí,4,Coquimbo,0.0,0,0,0.0,0,0,0.0,0
4305,Río Hurtado,43,Limarí,4,Coquimbo,0.0,0,0,0.0,0,0,0.0,0
5101,Valparaíso,51,Valparaíso,5,Valparaíso,371.1663,1744,5,96.4731,201,5,467.6394,2
5102,Casablanca,51,Valparaíso,5,Valparaíso,0.0,0,0,7.6386,7,2,7.6386,1
5103,Concón,51,Valparaíso,5,Valparaíso,61.4711,145,2,11.1837,17,3,72.6548,2
5104,Juan Fernández,51,Valparaíso,5,Valparaíso,0.0,0,0,0.0,0,0,0.0,0
5105,Puchuncaví,51,Valparaíso,5,Valparaíso,2.7951,10,2,9.5029,12,2,12.298,2
5107,Quintero,51,Valparaíso,5,Valparaíso,3.2931,6,2,20.3278,15,1,23.621,2
5109,Viña del Mar,51,Valparaíso,5,Valparaíso,514.7341,1586,5,181.4779,361,3,696.212,2
5201,Isla de Pascua,52,Isla de Pascua,5,Valparaíso,0.0,0,0,0.0,0,0,0.0,0
5301,Los Andes,53,Los Andes,5,Valparaíso,113.417,381,4,6.3981,19,2,119.8151,2
5302,Calle Larga,53,Los Andes,5,Valparaíso,7.5888,21,2,0.5899,4,1,8.1787,2
5303,Rinconada,53,Los Andes,5,Valparaíso,13.5001,17,2,0.0,0,0,13.5001,1
5304,San Esteban,53,Los Andes,5,Valparaíso,12.6463,25,1,0.0,0,0,12.6463,1
