comuna,comuna_nombre,provincia,provincia_nombre,region,region_nombre,mineduc_aulas_selected_establishments_2025,mineduc_aulas_waitlist_establishments_2025,mineduc_aulas_selected_rural_establishments_2025,mineduc_aulas_selected_enrollment_2025,mineduc_aulas_selected_with_coordinates_2025
1101,Iquique,11,Iquique,1,Tarapacá,12,0,0,6870,12
1107,Alto Hospicio,11,Iquique,1,Tarapacá,1,0,0,1142,1
1401,Pozo Almonte,14,Del Tamarugal,1,Tarapacá,2,2,2,1455,2
1402,Camiña,14,Del Tamarugal,1,Tarapacá,0,0,0,0,0
1403,Colchane,14,Del Tamarugal,1,Tarapacá,0,0,0,0,0
1404,Huara,14,Del Tamarugal,1,Tarapacá,1,0,1,503,1
1405,Pica,14,Del Tamarugal,1,Tarapacá,3,0,3,1209,3
2101,Antofagasta,21,Antofagasta,2,Antofagasta,25,1,0,16591,25
2102,Mejillones,21,Antofagasta,2,Antofagasta,2,0,0,3056,2
2103,Sierra Gorda,21,Antofagasta,2,Antofagasta,0,0,0,0,0
2104,Taltal,21,Antofagasta,2,Antofagasta,0,1,0,0,0
2201,Calama,22,El Loa,2,Antofagasta,7,2,0,3209,7
2202,Ollagüe,22,El Loa,2,Antofagasta,0,0,0,0,0
2203,San Pedro de Atacama,22,El Loa,2,Antofagasta,1,0,0,1009,1
2301,Tocopilla,23,Tocopilla,2,Antofagasta,5,1,0,2823,5
2302,María Elena,23,Tocopilla,2,Antofagasta,2,0,0,968,2
3101,Copiapó,31,Copiapó,3,Atacama,7,1,1,4418,7
3102,Caldera,31,Copiapó,3,Atacama,3,0,0,1532,3
3103,Tierra Amarilla,31,Copiapó,3,Atacama,1,0,0,613,1
3201,Chañaral,32,Chañaral,3,Atacama,2,0,0,638,2
3202,Diego de Almagro,32,Chañaral,3,Atacama,1,0,0,571,1
3301,Vallenar,33,Huasco,3,Atacama,0,1,0,0,0
3302,Alto del Carmen,33,Huasco,3,Atacama,1,0,1,183,1
3303,Freirina,33,Huasco,3,Atacama,0,0,0,0,0
3304,Huasco,33,Huasco,3,Atacama,1,1,0,530,1
4101,La Serena,41,Elqui,4,Coquimbo,9,2,4,2767,9
4102,Coquimbo,41,Elqui,4,Coquimbo,0,0,0,0,0
4103,Andacollo,41,Elqui,4,Coquimbo,1,0,0,158,1
4104,La Higuera,41,Elqui,4,Coquimbo,0,0,0,0,0
4105,Paihuano,41,Elqui,4,Coquimbo,0,0,0,0,0
4106,Vicuña,41,Elqui,4,Coquimbo,2,0,0,363,2
4201,Illapel,42,Choapa,4,Coquimbo,3,0,1,577,3
4202,Canela,42,Choapa,4,Coquimbo,0,0,0,0,0
4203,Los Vilos,42,Choapa,4,Coquimbo,0,1,0,0,0
4204,Salamanca,42,Choapa,4,Coquimbo,0,0,0,0,0
4301,Ovalle,43,Limarí,4,Coquimbo,10,2,2,2701,10
4302,Combarbalá,43,Limarí,4,Coquimbo,1,0,0,679,1
4303,Monte Patria,43,Limarí,4,Coquimbo,7,0,1,2417,7
4304,Punitaqui,43,Limarí,4,Coquimbo,0,2,0,0,0
4305,Río Hurtado,43,Limarí,4,Coquimbo,1,0,1,250,1
5101,Valparaíso,51,Valparaíso,5,Valparaíso,2,0,0,372,2
5102,Casablanca,51,Valparaíso,5,Valparaíso,0,0,0,0,0
5103,Concón,51,Valparaíso,5,Valparaíso,0,0,0,0,0
5104,Juan Fernández,51,Valparaíso,5,Valparaíso,0,0,0,0,0
5105,Puchuncaví,51,Valparaíso,5,Valparaíso,5,0,1,1942,5
5107,Quintero,51,Valparaíso,5,Valparaíso,2,1,0,954,2
5109,Viña del Mar,51,Valparaíso,5,Valparaíso,18,3,0,3874,18
5201,Isla de Pascua,52,Isla de Pascua,5,Valparaíso,0,0,0,0,0
5301,Los Andes,53,Los Andes,5,Valparaíso,5,1,0,1271,5
5302,Calle Larga,53,Los Andes,5,Valparaíso,2,0,1,445,2
